month,active_repositories,org_name
2012-01,457,apache
2012-02,412,apache
2012-03,418,apache
2012-04,432,apache
2012-05,491,apache
2012-06,462,apache
2012-07,524,apache
2012-08,511,apache
2012-09,473,apache
2012-10,483,apache
2012-11,505,apache
2012-12,518,apache
2013-01,498,apache
2013-02,561,apache
2013-03,551,apache
2013-04,480,apache
2013-05,588,apache
2013-06,473,apache
2013-07,632,apache
2013-08,514,apache
2013-09,557,apache
2013-10,514,apache
2013-11,552,apache
2013-12,506,apache
2014-01,542,apache
2014-02,521,apache
2014-03,618,apache
2014-04,567,apache
2014-05,594,apache
2014-06,528,apache
2014-07,581,apache
2014-08,604,apache
2014-09,599,apache
2014-10,674,apache
2014-11,544,apache
2014-12,516,apache
2015-01,555,apache
2015-02,567,apache
2015-03,622,apache
2015-04,667,apache
2015-05,693,apache
2015-06,755,apache
2015-07,689,apache
2015-08,558,apache
2015-09,605,apache
2015-10,741,apache
2015-11,620,apache
2015-12,607,apache
2016-01,736,apache
2016-02,597,apache
2016-03,596,apache
2016-04,630,apache
2016-05,672,apache
2016-06,635,apache
2016-07,610,apache
2016-08,627,apache
2016-09,651,apache
2016-10,722,apache
2016-11,716,apache
2016-12,698,apache
2017-01,653,apache
2017-02,614,apache
2017-03,761,apache
2017-04,690,apache
2017-05,720,apache
2017-06,711,apache
2017-07,667,apache
2017-08,688,apache
2017-09,680,apache
2017-10,918,apache
2017-11,704,apache
2017-12,721,apache
2018-01,735,apache
2018-02,706,apache
2018-03,698,apache
2018-04,741,apache
2018-05,746,apache
2018-06,955,apache
2018-07,702,apache
2018-08,777,apache
2018-09,935,apache
2018-10,748,apache
2018-11,701,apache
2018-12,707,apache
2019-01,976,apache
2019-02,691,apache
2019-03,719,apache
2019-04,738,apache
2019-05,762,apache
2019-06,773,apache
2019-07,714,apache
2019-08,739,apache
2019-09,674,apache
2019-10,729,apache
2019-11,684,apache
2019-12,680,apache
2020-01,726,apache
2020-02,709,apache
2020-03,774,apache
2020-04,848,apache
2020-05,716,apache
2020-06,744,apache
2020-07,739,apache
2020-08,1071,apache
2020-09,703,apache
2020-10,776,apache
2020-11,691,apache
2020-12,710,apache
2021-01,700,apache
2021-02,718,apache
2021-03,751,apache
2021-04,750,apache
2021-05,743,apache
2021-06,750,apache
2021-07,1055,apache
2021-08,696,apache
2021-09,755,apache
2021-10,717,apache
2021-11,673,apache
2021-12,761,apache
2022-01,985,apache
2022-02,727,apache
2022-03,736,apache
2022-04,755,apache
2022-05,762,apache
