month,unique_contributors,org_name
2012-01,158,apache
2012-02,158,apache
2012-03,170,apache
2012-04,137,apache
2012-05,160,apache
2012-06,138,apache
2012-07,171,apache
2012-08,152,apache
2012-09,156,apache
2012-10,156,apache
2012-11,132,apache
2012-12,134,apache
2013-01,199,apache
2013-02,180,apache
2013-03,183,apache
2013-04,162,apache
2013-05,165,apache
2013-06,128,apache
2013-07,124,apache
2013-08,140,apache
2013-09,131,apache
2013-10,135,apache
2013-11,138,apache
2013-12,113,apache
2014-01,142,apache
2014-02,120,apache
2014-03,140,apache
2014-04,135,apache
2014-05,123,apache
2014-06,141,apache
2014-07,127,apache
2014-08,112,apache
2014-09,144,apache
2014-10,169,apache
2014-11,124,apache
2014-12,98,apache
2015-01,135,apache
2015-02,107,apache
2015-03,148,apache
2015-04,116,apache
2015-05,108,apache
2015-06,109,apache
2015-07,118,apache
2015-08,102,apache
2015-09,114,apache
2015-10,105,apache
2015-11,93,apache
2015-12,71,apache
2016-01,105,apache
2016-02,106,apache
2016-03,115,apache
2016-04,89,apache
2016-05,101,apache
2016-06,86,apache
2016-07,80,apache
2016-08,99,apache
2016-09,103,apache
2016-10,83,apache
2016-11,92,apache
2016-12,58,apache
2017-01,78,apache
2017-02,90,apache
2017-03,85,apache
2017-04,72,apache
2017-05,86,apache
2017-06,86,apache
2017-07,77,apache
2017-08,83,apache
2017-09,76,apache
2017-10,81,apache
2017-11,64,apache
2017-12,61,apache
2018-01,61,apache
2018-02,64,apache
2018-03,81,apache
2018-04,69,apache
2018-05,66,apache
2018-06,51,apache
2018-07,70,apache
2018-08,60,apache
2018-09,51,apache
2018-10,63,apache
2018-11,49,apache
2018-12,43,apache
2019-01,54,apache
2019-02,59,apache
2019-03,55,apache
2019-04,61,apache
2019-05,59,apache
2019-06,50,apache
2019-07,55,apache
2019-08,50,apache
2019-09,46,apache
2019-10,47,apache
2019-11,34,apache
2019-12,36,apache
2020-01,46,apache
2020-02,60,apache
2020-03,61,apache
2020-04,45,apache
2020-05,39,apache
2020-06,44,apache
2020-07,35,apache
2020-08,54,apache
2020-09,47,apache
2020-10,42,apache
2020-11,37,apache
2020-12,36,apache
2021-01,37,apache
2021-02,37,apache
2021-03,34,apache
2021-04,28,apache
2021-05,34,apache
2021-06,41,apache
2021-07,28,apache
2021-08,44,apache
2021-09,41,apache
2021-10,39,apache
2021-11,36,apache
2021-12,23,apache
2022-01,36,apache
2022-02,36,apache
2022-03,24,apache
2022-04,31,apache
2022-05,22,apache
2022-06,30,apache
2022-07,23,apache
2022-08,29,apache
2022-09,27,apache
2022-10,17,apache
2022-11,17,apache
2022-12,19,apache
2023-01,18,apache
2023-02,26,apache
2023-03,21,apache
2023-04,18,apache
2023-05,10,apache
2023-06,13,apache
2023-07,10,apache
2023-08,10,apache
2023-09,9,apache
2023-10,8,apache
2023-11,8,apache
2023-12,8,apache
2024-01,4,apache
2024-02,3,apache
2024-03,5,apache
2024-04,5,apache
2012-01,7,curl
2012-02,6,curl
2012-03,11,curl
2012-04,3,curl
2012-05,3,curl
2012-06,8,curl
2012-07,11,curl
2012-08,4,curl
2012-09,1,curl
2012-10,5,curl
2012-11,4,curl
2012-12,3,curl
2013-01,6,curl
2013-02,9,curl
2013-03,7,curl
2013-04,5,curl
2013-05,5,curl
2013-06,5,curl
2013-07,6,curl
2013-08,10,curl
2013-09,4,curl
2013-10,4,curl
2013-11,3,curl
2013-12,6,curl
2014-01,7,curl
2014-02,3,curl
2014-03,6,curl
2014-04,6,curl
2014-05,3,curl
2014-06,3,curl
2014-07,6,curl
2014-08,6,curl
2014-09,6,curl
2014-10,3,curl
2014-11,3,curl
2014-12,2,curl
2015-01,6,curl
2015-02,5,curl
2015-03,3,curl
2015-04,3,curl
2015-05,1,curl
2015-06,6,curl
2015-07,2,curl
2015-08,2,curl
2015-09,4,curl
2015-10,2,curl
2015-12,4,curl
2016-01,6,curl
2016-02,1,curl
2016-03,3,curl
2016-04,4,curl
2016-05,2,curl
2016-06,2,curl
2016-07,4,curl
2016-09,2,curl
2016-10,2,curl
2017-01,3,curl
2017-02,4,curl
2017-04,4,curl
2017-05,2,curl
2017-06,1,curl
2017-07,3,curl
2017-08,3,curl
2017-10,4,curl
2017-11,1,curl
2017-12,3,curl
2018-01,1,curl
2018-03,1,curl
2018-04,3,curl
2018-05,3,curl
2018-06,1,curl
2018-07,1,curl
2018-08,1,curl
2018-09,1,curl
2018-10,2,curl
2018-11,1,curl
2018-12,3,curl
2019-02,1,curl
2019-04,1,curl
2019-05,2,curl
2019-06,1,curl
2019-07,1,curl
2019-09,4,curl
2019-10,1,curl
2019-11,3,curl
2019-12,1,curl
2020-01,2,curl
2020-02,3,curl
2020-03,1,curl
2020-04,1,curl
2020-06,2,curl
2020-09,1,curl
2020-10,1,curl
2020-12,1,curl
2021-01,1,curl
2021-02,1,curl
2021-05,4,curl
2021-07,1,curl
2021-08,3,curl
2021-09,2,curl
2021-11,1,curl
2022-04,1,curl
2022-05,1,curl
2022-07,1,curl
2022-08,2,curl
2022-09,1,curl
2022-10,1,curl
2022-12,1,curl
2023-01,3,curl
2023-02,2,curl
2023-03,3,curl
2023-04,1,curl
2023-06,1,curl
2023-12,1,curl
2024-03,2,curl
2024-04,1,curl
2012-01,1,fortran-lang
2012-02,1,fortran-lang
2012-03,1,fortran-lang
2012-05,3,fortran-lang
2012-06,1,fortran-lang
2012-07,1,fortran-lang
2012-08,1,fortran-lang
2012-09,2,fortran-lang
2012-11,1,fortran-lang
2013-01,1,fortran-lang
2013-03,2,fortran-lang
2013-04,2,fortran-lang
2013-05,2,fortran-lang
2013-06,1,fortran-lang
2013-07,4,fortran-lang
2013-08,1,fortran-lang
2013-09,2,fortran-lang
2013-10,2,fortran-lang
2013-12,2,fortran-lang
2014-01,3,fortran-lang
2014-02,2,fortran-lang
2014-04,2,fortran-lang
2014-05,1,fortran-lang
2014-06,2,fortran-lang
2014-08,2,fortran-lang
2014-10,2,fortran-lang
2014-12,2,fortran-lang
2015-02,5,fortran-lang
2015-03,1,fortran-lang
2015-05,1,fortran-lang
2015-06,1,fortran-lang
2015-07,2,fortran-lang
2015-08,2,fortran-lang
2015-09,3,fortran-lang
2015-11,1,fortran-lang
2015-12,1,fortran-lang
2016-01,2,fortran-lang
2016-02,2,fortran-lang
2016-03,2,fortran-lang
2016-04,1,fortran-lang
2016-05,1,fortran-lang
2016-06,1,fortran-lang
2016-10,1,fortran-lang
2016-11,1,fortran-lang
2017-02,1,fortran-lang
2017-03,1,fortran-lang
2017-04,2,fortran-lang
2017-05,1,fortran-lang
2017-07,2,fortran-lang
2017-08,2,fortran-lang
2017-10,1,fortran-lang
2017-11,2,fortran-lang
2017-12,2,fortran-lang
2018-06,1,fortran-lang
2018-07,1,fortran-lang
2018-08,1,fortran-lang
2018-12,2,fortran-lang
2019-07,2,fortran-lang
2019-09,1,fortran-lang
2019-11,1,fortran-lang
2019-12,2,fortran-lang
2020-01,1,fortran-lang
2020-03,2,fortran-lang
2020-04,2,fortran-lang
2020-05,1,fortran-lang
2020-10,2,fortran-lang
2021-03,2,fortran-lang
2021-08,1,fortran-lang
2021-09,1,fortran-lang
2021-11,1,fortran-lang
2022-01,1,fortran-lang
2022-04,2,fortran-lang
2022-10,1,fortran-lang
2023-03,1,fortran-lang
2023-09,1,fortran-lang
2012-02,2,openjs-foundation
2012-03,1,openjs-foundation
2012-07,1,openjs-foundation
2013-03,1,openjs-foundation
2013-04,1,openjs-foundation
2013-05,1,openjs-foundation
2013-07,2,openjs-foundation
2014-06,1,openjs-foundation
2014-08,1,openjs-foundation
2014-12,1,openjs-foundation
2015-01,2,openjs-foundation
2015-10,1,openjs-foundation
