issue_month,running_total_open_issues,org_name
2015-02-01,1.0,curl
2015-03-01,2.0,curl
2015-04-01,9.0,curl
2015-05-01,11.0,curl
2015-06-01,6.0,curl
2015-07-01,12.0,curl
2015-08-01,14.0,curl
2015-09-01,14.0,curl
2015-10-01,17.0,curl
2015-11-01,20.0,curl
2015-12-01,23.0,curl
2016-01-01,23.0,curl
2016-02-01,26.0,curl
2016-03-01,31.0,curl
2016-04-01,15.0,curl
2016-05-01,18.0,curl
2016-06-01,26.0,curl
2016-07-01,34.0,curl
2016-08-01,31.0,curl
2016-09-01,35.0,curl
2016-10-01,30.0,curl
2016-11-01,41.0,curl
2016-12-01,43.0,curl
2017-01-01,43.0,curl
2017-02-01,50.0,curl
2017-03-01,45.0,curl
2017-04-01,46.0,curl
2017-05-01,43.0,curl
2017-06-01,47.0,curl
2017-07-01,43.0,curl
2017-08-01,44.0,curl
2017-09-01,40.0,curl
2017-10-01,41.0,curl
2017-11-01,48.0,curl
2017-12-01,50.0,curl
2018-01-01,41.0,curl
2018-02-01,44.0,curl
2018-03-01,58.0,curl
2018-04-01,45.0,curl
2018-05-01,34.0,curl
2018-06-01,33.0,curl
2018-07-01,47.0,curl
2018-08-01,42.0,curl
2018-09-01,39.0,curl
2018-10-01,56.0,curl
2018-11-01,66.0,curl
2018-12-01,62.0,curl
2019-01-01,50.0,curl
2019-02-01,46.0,curl
2019-03-01,35.0,curl
2019-04-01,52.0,curl
2019-05-01,42.0,curl
2019-06-01,39.0,curl
2019-07-01,44.0,curl
2019-08-01,39.0,curl
2019-09-01,69.0,curl
2019-10-01,66.0,curl
2019-11-01,65.0,curl
2019-12-01,47.0,curl
2020-01-01,45.0,curl
2020-02-01,56.0,curl
2020-03-01,49.0,curl
2020-04-01,45.0,curl
2020-05-01,50.0,curl
2020-06-01,55.0,curl
2020-07-01,55.0,curl
2020-08-01,40.0,curl
2020-09-01,35.0,curl
2020-10-01,42.0,curl
2020-11-01,47.0,curl
2020-12-01,42.0,curl
2021-01-01,41.0,curl
2021-02-01,43.0,curl
2021-03-01,42.0,curl
2021-04-01,48.0,curl
2021-05-01,49.0,curl
2021-06-01,49.0,curl
2021-07-01,53.0,curl
2021-08-01,45.0,curl
2021-09-01,41.0,curl
2021-10-01,43.0,curl
2021-11-01,39.0,curl
2021-12-01,44.0,curl
2022-01-01,44.0,curl
2022-02-01,45.0,curl
2022-03-01,44.0,curl
2022-04-01,52.0,curl
2022-05-01,54.0,curl
2022-06-01,62.0,curl
2022-07-01,78.0,curl
2022-08-01,68.0,curl
2022-09-01,63.0,curl
2022-10-01,69.0,curl
2022-11-01,66.0,curl
2022-12-01,71.0,curl
2023-01-01,74.0,curl
2023-02-01,74.0,curl
2023-03-01,81.0,curl
2023-04-01,94.0,curl
2023-05-01,84.0,curl
2023-06-01,101.0,curl
2023-07-01,79.0,curl
2023-08-01,68.0,curl
2023-09-01,77.0,curl
2023-10-01,83.0,curl
2023-11-01,84.0,curl
2023-12-01,85.0,curl
2024-01-01,95.0,curl
2024-02-01,79.0,curl
2024-03-01,77.0,curl
2024-04-01,82.0,curl
2017-06-01,1.0,fortran-lang
2017-07-01,0.0,fortran-lang
2017-08-01,2.0,fortran-lang
2017-11-01,3.0,fortran-lang
2017-12-01,8.0,fortran-lang
2018-01-01,6.0,fortran-lang
2018-02-01,8.0,fortran-lang
2018-03-01,10.0,fortran-lang
2018-04-01,7.0,fortran-lang
2018-05-01,8.0,fortran-lang
2018-06-01,7.0,fortran-lang
2018-07-01,6.0,fortran-lang
2018-08-01,7.0,fortran-lang
