month,unique_pull_requests,open_pull_requests,closed_pull_requests,org_name
2012-01,39,1,38,apache
2012-02,32,2,30,apache
2012-03,33,0,33,apache
2012-04,29,0,29,apache
2012-05,41,1,40,apache
2012-06,29,1,28,apache
2012-07,29,2,27,apache
2012-08,34,2,32,apache
2012-09,21,0,21,apache
2012-10,55,0,55,apache
2012-11,83,1,82,apache
2012-12,66,2,64,apache
2013-01,118,4,114,apache
2013-02,140,0,140,apache
2013-03,189,2,187,apache
2013-04,187,3,184,apache
2013-05,218,2,216,apache
2013-06,188,2,186,apache
2013-07,244,2,242,apache
2013-08,231,2,229,apache
2013-09,230,0,230,apache
2013-10,231,4,227,apache
2013-11,296,0,296,apache
2013-12,259,3,256,apache
2014-01,296,1,295,apache
2014-02,370,3,367,apache
2014-03,636,4,632,apache
2014-04,787,7,780,apache
2014-05,889,10,879,apache
2014-06,1029,6,1023,apache
2014-07,1178,13,1165,apache
2014-08,1280,6,1274,apache
2014-09,1186,9,1177,apache
2014-10,1268,9,1259,apache
2014-11,1474,13,1461,apache
2014-12,1220,14,1206,apache
2015-01,1367,7,1360,apache
2015-02,1634,11,1623,apache
2015-03,1902,20,1882,apache
2015-04,1926,28,1898,apache
2015-05,2103,9,2094,apache
2015-06,2223,23,2200,apache
2015-07,2383,26,2357,apache
2015-08,2615,26,2589,apache
2015-09,2606,21,2585,apache
2015-10,2944,29,2915,apache
2015-11,3249,30,3219,apache
2015-12,2923,25,2898,apache
2016-01,2965,32,2933,apache
2016-02,3449,37,3412,apache
2016-03,4153,48,4105,apache
2016-04,4166,38,4128,apache
2016-05,3930,41,3889,apache
2016-06,4171,40,4131,apache
2016-07,3851,42,3809,apache
2016-08,4250,45,4205,apache
2016-09,3997,39,3958,apache
2016-10,4000,50,3950,apache
2016-11,4313,38,4275,apache
2016-12,3748,35,3713,apache
2017-01,4136,42,4094,apache
2017-02,4171,47,4124,apache
2017-03,5272,54,5218,apache
2017-04,4876,55,4821,apache
2017-05,5483,57,5426,apache
2017-06,5138,60,5078,apache
2017-07,4597,56,4541,apache
2017-08,4903,54,4849,apache
2017-09,4868,69,4799,apache
2017-10,5094,81,5013,apache
2017-11,4731,69,4662,apache
2017-12,4229,73,4156,apache
2018-01,5232,56,5176,apache
2018-02,5058,53,5005,apache
2018-03,5831,65,5766,apache
2018-04,5692,67,5625,apache
2018-05,5724,73,5651,apache
2018-06,5294,72,5222,apache
2018-07,5686,101,5585,apache
2018-08,6490,75,6415,apache
2018-09,5558,70,5488,apache
2018-10,6298,82,6216,apache
2018-11,6096,88,6008,apache
2018-12,5157,85,5072,apache
2019-01,6487,84,6403,apache
2019-02,5607,53,5554,apache
2019-03,6636,94,6542,apache
2019-04,6355,111,6244,apache
2019-05,6336,99,6237,apache
2019-06,6210,100,6110,apache
2019-07,6886,92,6794,apache
2019-08,6970,121,6849,apache
2019-09,6504,104,6400,apache
2019-10,7973,170,7803,apache
2019-11,7668,169,7497,apache
2019-12,7120,120,7000,apache
2020-01,7432,131,7300,apache
2020-02,7476,150,7324,apache
2020-03,9229,167,9062,apache
2020-04,9362,147,9215,apache
2020-05,8558,138,8419,apache
2020-06,9190,159,9030,apache
2020-07,9231,131,9098,apache
2020-08,8180,124,8056,apache
2020-09,8380,139,8241,apache
2020-10,9312,150,9160,apache
2020-11,8737,125,8612,apache
2020-12,9125,130,8968,apache
2021-01,9363,133,9198,apache
2021-02,9137,125,9007,apache
2021-03,10805,231,10564,apache
2021-04,10136,147,9958,apache
2021-05,9546,156,9345,apache
2021-06,9795,158,9612,apache
2021-07,9945,176,9741,apache
2021-08,9788,188,9578,apache
2021-09,10017,180,9825,apache
2021-10,9522,173,9309,apache
2021-11,10090,185,9851,apache
2021-12,10502,164,10299,apache
2022-01,11553,183,11314,apache
2022-02,10507,178,10265,apache
2022-03,13511,223,13207,apache
2022-04,13507,337,13091,apache
2022-05,12471,340,12104,apache
2022-06,13242,561,12628,apache
2022-07,13913,625,13196,apache
2022-08,14297,312,13848,apache
2022-09,13989,303,13553,apache
2022-10,14171,427,13634,apache
2022-11,14406,430,13866,apache
2022-12,13743,561,13121,apache
2023-01,13816,363,13409,apache
2023-02,14178,455,13673,apache
2023-03,15902,504,15312,apache
2023-04,13602,637,12858,apache
2023-05,13835,444,13354,apache
2023-06,14146,477,13651,apache
2023-07,14155,634,13480,apache
2023-08,14893,552,14288,apache
2023-09,13289,526,12671,apache
2023-10,13790,530,13202,apache
2023-11,14064,647,13369,apache
2023-12,13623,692,12891,apache
2024-01,14175,854,13269,apache
2024-02,12252,876,11354,apache
2024-03,14847,1479,13368,apache
2024-04,10375,2452,7923,apache
2012-03,1,0,1,curl
2012-04,2,0,2,curl
2012-07,4,0,4,curl
2012-08,1,0,1,curl
2012-09,2,0,2,curl
2012-10,2,0,2,curl
2012-11,7,0,7,curl
2012-12,1,0,1,curl
2013-01,3,0,3,curl
2013-02,4,0,4,curl
2013-03,3,0,3,curl
2013-04,2,0,2,curl
2013-05,4,0,4,curl
2013-06,4,0,4,curl
2013-07,3,0,3,curl
2013-08,1,0,1,curl
2013-09,5,0,5,curl
2013-10,1,0,1,curl
2013-11,1,0,1,curl
2013-12,1,0,1,curl
2014-01,4,0,4,curl
2014-02,6,0,6,curl
2014-03,1,0,1,curl
2014-04,3,0,3,curl
2014-05,2,0,2,curl
2014-06,4,0,4,curl
2014-07,4,0,4,curl
2014-08,7,0,7,curl
2014-09,3,0,3,curl
2014-10,3,0,3,curl
2014-11,7,0,7,curl
2014-12,5,0,5,curl
2015-01,4,0,4,curl
2015-02,4,0,4,curl
2015-03,31,0,31,curl
2015-04,30,0,30,curl
2015-05,21,0,21,curl
2015-06,20,0,20,curl
2015-07,13,0,13,curl
2015-08,22,0,22,curl
2015-09,31,0,31,curl
2015-10,24,0,24,curl
2015-11,14,0,14,curl
2015-12,15,0,15,curl
2016-01,20,0,20,curl
2016-02,33,0,33,curl
2016-03,21,0,21,curl
2016-04,12,0,12,curl
2016-05,29,0,29,curl
2016-06,22,0,22,curl
2016-07,14,0,14,curl
2016-08,22,0,22,curl
2016-09,22,0,22,curl
2016-10,23,0,23,curl
2016-11,26,0,26,curl
2016-12,13,0,13,curl
2017-01,28,0,28,curl
2017-02,35,0,35,curl
2017-03,47,0,47,curl
2017-04,53,0,53,curl
2017-05,33,0,33,curl
2017-06,63,0,63,curl
2017-07,56,0,56,curl
2017-08,83,0,83,curl
2017-09,58,0,58,curl
2017-10,78,0,78,curl
2017-11,49,0,49,curl
2017-12,42,0,42,curl
2018-01,40,0,40,curl
2018-02,36,0,36,curl
2018-03,46,0,46,curl
2018-04,72,0,72,curl
2018-05,51,0,51,curl
2018-06,53,0,53,curl
2018-07,62,0,62,curl
2018-08,62,0,62,curl
2018-09,96,0,96,curl
2018-10,95,0,95,curl
2018-11,74,0,74,curl
2018-12,56,0,56,curl
2019-01,57,0,57,curl
2019-02,81,0,81,curl
2019-03,48,0,48,curl
2019-04,64,0,64,curl
2019-05,101,0,101,curl
2019-06,69,0,69,curl
2019-07,56,0,56,curl
2019-08,91,0,91,curl
2019-09,110,0,110,curl
2019-10,68,0,68,curl
2019-11,71,0,71,curl
2019-12,64,0,64,curl
2020-01,62,0,62,curl
2020-02,94,0,94,curl
2020-03,110,0,110,curl
2020-04,108,0,108,curl
2020-05,110,0,110,curl
2020-06,87,0,87,curl
2020-07,83,0,83,curl
2020-08,96,0,96,curl
2020-09,101,0,101,curl
2020-10,77,0,77,curl
2020-11,83,0,83,curl
2020-12,86,1,85,curl
2021-01,114,0,114,curl
2021-02,91,0,91,curl
2021-03,96,0,96,curl
2021-04,85,0,85,curl
2021-05,115,0,115,curl
2021-06,148,1,147,curl
2021-07,122,1,121,curl
2021-08,97,0,97,curl
2021-09,89,0,89,curl
2021-10,98,1,97,curl
2021-11,108,0,108,curl
2021-12,85,0,85,curl
2022-01,107,1,106,curl
2022-02,130,1,129,curl
2022-03,105,1,104,curl
2022-04,92,0,92,curl
2022-05,124,0,124,curl
2022-06,104,1,103,curl
2022-07,92,0,92,curl
2022-08,120,0,120,curl
2022-09,158,0,158,curl
2022-10,174,1,173,curl
2022-11,121,0,121,curl
2022-12,143,0,143,curl
2023-01,127,0,127,curl
2023-02,173,0,173,curl
2023-03,176,0,176,curl
2023-04,249,0,249,curl
2023-05,128,2,126,curl
2023-06,148,0,148,curl
2023-07,105,1,104,curl
2023-08,189,2,187,curl
2023-09,186,1,185,curl
2023-10,176,3,173,curl
2023-11,148,2,146,curl
2023-12,203,0,203,curl
2024-01,200,6,194,curl
2024-02,130,4,126,curl
2024-03,174,5,169,curl
2024-04,146,12,134,curl
2017-07,2,0,2,fortran-lang
2017-08,4,0,4,fortran-lang
2017-09,1,0,1,fortran-lang
2017-12,1,0,1,fortran-lang
2018-01,5,0,5,fortran-lang
