release_month,release_count,org_name
2014-06-01,4,apache
2014-07-01,1,apache
2014-08-01,1,apache
2014-10-01,1,apache
2014-11-01,1,apache
2015-01-01,1,apache
2015-02-01,2,apache
2015-04-01,1,apache
2015-05-01,2,apache
2015-06-01,4,apache
2015-07-01,5,apache
2015-08-01,2,apache
2015-09-01,7,apache
2015-10-01,4,apache
2015-11-01,4,apache
2015-12-01,4,apache
2016-01-01,7,apache
2016-02-01,7,apache
2016-03-01,12,apache
2016-04-01,7,apache
2016-05-01,18,apache
2016-06-01,37,apache
2016-07-01,6,apache
2016-08-01,8,apache
2016-09-01,3,apache
2016-10-01,9,apache
2016-11-01,17,apache
2016-12-01,13,apache
2017-01-01,10,apache
2017-02-01,8,apache
2017-03-01,19,apache
2017-04-01,26,apache
2017-05-01,20,apache
2017-06-01,30,apache
2017-07-01,14,apache
2017-08-01,30,apache
2017-09-01,27,apache
2017-10-01,31,apache
2017-11-01,30,apache
2017-12-01,24,apache
2018-01-01,19,apache
2018-02-01,14,apache
2018-03-01,22,apache
2018-04-01,24,apache
2018-05-01,21,apache
2018-06-01,22,apache
2018-07-01,18,apache
2018-08-01,21,apache
2018-09-01,26,apache
2018-10-01,21,apache
2018-11-01,23,apache
2018-12-01,48,apache
2019-01-01,32,apache
2019-02-01,26,apache
2019-03-01,38,apache
2019-04-01,35,apache
2019-05-01,44,apache
2019-06-01,23,apache
2019-07-01,39,apache
2019-08-01,40,apache
2019-09-01,50,apache
2019-10-01,37,apache
2019-11-01,42,apache
2019-12-01,36,apache
2020-01-01,31,apache
2020-02-01,49,apache
2020-03-01,45,apache
2020-04-01,47,apache
2020-05-01,37,apache
2020-06-01,45,apache
2020-07-01,55,apache
2020-08-01,47,apache
2020-09-01,33,apache
2020-10-01,56,apache
2020-11-01,64,apache
2020-12-01,47,apache
2021-01-01,50,apache
2021-02-01,84,apache
2021-03-01,72,apache
2021-04-01,67,apache
2021-05-01,56,apache
2021-06-01,65,apache
2021-07-01,64,apache
2021-08-01,69,apache
2021-09-01,83,apache
2021-10-01,61,apache
2021-11-01,55,apache
2021-12-01,85,apache
2022-01-01,71,apache
2022-02-01,72,apache
2022-03-01,83,apache
2022-04-01,93,apache
2022-05-01,82,apache
2022-06-01,114,apache
2022-07-01,102,apache
2022-08-01,116,apache
2022-09-01,154,apache
2022-10-01,124,apache
2022-11-01,103,apache
2022-12-01,148,apache
2023-01-01,108,apache
2023-02-01,130,apache
2023-03-01,152,apache
2023-04-01,102,apache
2023-05-01,146,apache
2023-06-01,119,apache
2023-07-01,105,apache
2023-08-01,103,apache
2023-09-01,140,apache
2023-10-01,115,apache
2023-11-01,123,apache
2023-12-01,97,apache
2024-01-01,120,apache
2024-02-01,99,apache
2024-03-01,96,apache
2024-04-01,85,apache
2015-06-01,1,curl
2015-08-01,1,curl
2015-10-01,1,curl
2015-12-01,1,curl
2016-01-01,1,curl
2016-02-01,1,curl
