month,unique_contributors,org_name
2012-01,801,apache
2012-02,847,apache
2012-03,839,apache
2012-04,803,apache
2012-05,836,apache
2012-06,819,apache
2012-07,867,apache
2012-08,888,apache
2012-09,865,apache
2012-10,906,apache
2012-11,915,apache
2012-12,821,apache
2013-01,937,apache
2013-02,946,apache
2013-03,1025,apache
2013-04,996,apache
2013-05,1031,apache
2013-06,1062,apache
2013-07,1107,apache
2013-08,1061,apache
2013-09,1016,apache
2013-10,1129,apache
2013-11,1092,apache
2013-12,1065,apache
2014-01,1193,apache
2014-02,1186,apache
2014-03,1262,apache
2014-04,1296,apache
2014-05,1347,apache
2014-06,1352,apache
2014-07,1408,apache
2014-08,1384,apache
2014-09,1406,apache
2014-10,1508,apache
2014-11,1424,apache
2014-12,1407,apache
2015-01,1527,apache
2015-02,1553,apache
2015-03,1676,apache
2015-04,1729,apache
2015-05,1725,apache
2015-06,1758,apache
2015-07,1729,apache
2015-08,1687,apache
2015-09,1716,apache
2015-10,1870,apache
2015-11,1887,apache
2015-12,1753,apache
2016-01,1897,apache
2016-02,1936,apache
2016-03,1993,apache
2016-04,2080,apache
2016-05,2092,apache
2016-06,2082,apache
2016-07,2044,apache
2016-08,2147,apache
2016-09,2053,apache
2016-10,2074,apache
2016-11,2116,apache
2016-12,2002,apache
2017-01,2063,apache
2017-02,2121,apache
2017-03,2303,apache
2017-04,2167,apache
2017-05,2219,apache
2017-06,2187,apache
2017-07,2142,apache
2017-08,2297,apache
2017-09,2261,apache
2017-10,2247,apache
2017-11,2212,apache
2017-12,2072,apache
2018-01,2346,apache
2018-02,2214,apache
2018-03,2282,apache
2018-04,2338,apache
2018-05,2404,apache
2018-06,2236,apache
2018-07,2264,apache
2018-08,2408,apache
2018-09,2192,apache
2018-10,2390,apache
2018-11,2341,apache
2018-12,2219,apache
2019-01,2431,apache
2019-02,2221,apache
2019-03,2505,apache
2019-04,2318,apache
2019-05,2416,apache
2019-06,2280,apache
2019-07,2441,apache
2019-08,2470,apache
2019-09,2381,apache
2019-10,2460,apache
2019-11,2427,apache
2019-12,2302,apache
2020-01,2395,apache
2020-02,2326,apache
2020-03,2516,apache
2020-04,2617,apache
2020-05,2559,apache
2020-06,2693,apache
2020-07,2540,apache
2020-08,2362,apache
2020-09,2351,apache
2020-10,2500,apache
2020-11,2335,apache
2020-12,2413,apache
2021-01,2479,apache
2021-02,2302,apache
2021-03,2604,apache
2021-04,2469,apache
2021-05,2388,apache
2021-06,2507,apache
2021-07,2549,apache
2021-08,2465,apache
2021-09,2560,apache
2021-10,2366,apache
2021-11,2523,apache
2021-12,2467,apache
2022-01,2615,apache
2022-02,2600,apache
2022-03,2903,apache
2022-04,2804,apache
2022-05,2654,apache
2022-06,2832,apache
2022-07,2761,apache
2022-08,2848,apache
2022-09,2734,apache
2022-10,2915,apache
