time_period,org_name,running_total_open_issues,release_count,unique_contributors,avg_commits_per_contributor,average_closure_days,unique_pull_requests,open_pull_requests,closed_pull_requests,treated
2012-01-01,apache,761.0,,158.0,193.80697384806973,97.58958087076438,39.0,1.0,38.0,0
2012-02-01,apache,785.0,,158.0,539.9941588785047,139.20930691107773,32.0,2.0,30.0,0
2012-03-01,apache,800.0,,170.0,153.07100591715977,176.11277236409796,33.0,0.0,33.0,0
2012-04-01,apache,824.0,,137.0,223.76375,156.95604585006694,29.0,0.0,29.0,0
2012-05-01,apache,837.0,,160.0,168.01072705601908,172.6400198600589,41.0,1.0,40.0,0
2012-06-01,apache,857.0,,138.0,141.28117359413204,94.34690141908212,29.0,1.0,28.0,0
2012-07-01,apache,871.0,,171.0,304.5785310734463,80.79073215352449,29.0,2.0,27.0,0
2012-08-01,apache,873.0,,152.0,256.22793296089384,63.0482712795627,34.0,2.0,32.0,0
2012-09-01,apache,881.0,,156.0,196.51645856980704,96.16262383135565,21.0,0.0,21.0,0
2012-10-01,apache,913.0,,156.0,161.3989247311828,142.47607599875155,55.0,0.0,55.0,0
2012-11-01,apache,952.0,,132.0,215.3565976008724,146.97037606972503,83.0,1.0,82.0,0
2012-12-01,apache,977.0,,134.0,205.67026378896884,65.97647156084656,66.0,2.0,64.0,0
2013-01-01,apache,999.0,,199.0,226.55532139093785,170.7313048094582,118.0,4.0,114.0,0
2013-02-01,apache,1009.0,,180.0,142.02572016460906,182.1518614130435,140.0,0.0,140.0,0
2013-03-01,apache,1012.0,,183.0,177.787213740458,127.92293013649426,189.0,2.0,187.0,0
2013-04-01,apache,1027.0,,162.0,150.39473684210526,98.68734447337962,187.0,3.0,184.0,0
2013-05-01,apache,1057.0,,165.0,160.72469252601704,85.5055966865626,218.0,2.0,216.0,0
2013-06-01,apache,1088.0,,128.0,147.15809167446213,158.42437513458225,188.0,2.0,186.0,0
2013-07-01,apache,1115.0,,124.0,119.84125560538116,246.05909687672747,244.0,2.0,242.0,0
2013-08-01,apache,1122.0,,140.0,112.98528058877643,75.09624048571877,231.0,2.0,229.0,0
2013-09-01,apache,1151.0,,131.0,123.56893203883494,101.86158078509182,230.0,0.0,230.0,0
2013-10-01,apache,1188.0,,135.0,91.94342906875544,138.4183260066259,231.0,4.0,227.0,0
2013-11-01,apache,1206.0,,138.0,100.92509025270758,165.55668462132004,296.0,0.0,296.0,0
2013-12-01,apache,1206.0,,113.0,85.65366759517177,173.45542644757433,259.0,3.0,256.0,0
2014-01-01,apache,1233.0,,142.0,86.34551495016612,158.2765161039272,296.0,1.0,295.0,0
2014-02-01,apache,1279.0,,120.0,119.535413153457,263.1962256227466,370.0,3.0,367.0,0
2014-03-01,apache,1331.0,,140.0,116.41803921568628,201.9555697820216,636.0,4.0,632.0,0
2014-04-01,apache,1367.0,,135.0,105.70992366412214,235.6261943742985,787.0,7.0,780.0,0
2014-05-01,apache,1448.0,,123.0,94.27272727272728,183.29279701356285,889.0,10.0,879.0,0
2014-06-01,apache,1522.0,4.0,141.0,77.31528189910979,154.33855702732052,1029.0,6.0,1023.0,0
2014-07-01,apache,1517.0,1.0,127.0,127.79298245614036,116.76507255634172,1178.0,13.0,1165.0,0
2014-08-01,apache,1601.0,1.0,112.0,123.61952620244078,164.35372581254725,1280.0,6.0,1274.0,0
2014-09-01,apache,1644.0,,144.0,98.9873595505618,104.380797768554,1186.0,9.0,1177.0,0
2014-10-01,apache,1674.0,1.0,169.0,100.09350132625995,99.26909513888889,1268.0,9.0,1259.0,0
2014-11-01,apache,1718.0,1.0,124.0,96.7883817427386,56.27698699477486,1474.0,13.0,1461.0,0
2014-12-01,apache,1709.0,,98.0,98.53291316526612,86.36654117933723,1220.0,14.0,1206.0,0
2015-01-01,apache,1744.0,1.0,135.0,128.99158031088083,100.27775845654122,1367.0,7.0,1360.0,0
2015-02-01,apache,1784.0,2.0,107.0,121.82738853503184,154.31941454061356,1634.0,11.0,1623.0,0
2015-03-01,apache,1942.0,,148.0,117.07974010632014,161.95135309894766,1902.0,20.0,1882.0,0
2015-04-01,apache,2285.0,1.0,116.0,149.73814898419866,43.267446123733365,1926.0,28.0,1898.0,0
2015-05-01,apache,2312.0,2.0,108.0,93.99309551208286,225.4344450568293,2103.0,9.0,2094.0,0
2015-06-01,apache,2465.0,4.0,109.0,116.75254237288136,209.6123101233819,2223.0,23.0,2200.0,0
2015-07-01,apache,2537.0,5.0,118.0,88.74486301369863,290.80153403973884,2383.0,26.0,2357.0,0
2015-08-01,apache,2680.0,2.0,102.0,120.952988972722,334.0630102584599,2615.0,26.0,2589.0,0
2015-09-01,apache,2822.0,7.0,114.0,107.8906432748538,233.74968947328475,2606.0,21.0,2585.0,0
2015-10-01,apache,2958.0,4.0,105.0,92.91462779802188,218.7091373362692,2944.0,29.0,2915.0,0
2015-11-01,apache,3085.0,4.0,93.0,76.12228692429856,210.3627577954048,3249.0,30.0,3219.0,0
2015-12-01,apache,3270.0,4.0,71.0,160.71523178807948,171.3815636278251,2923.0,25.0,2898.0,0
