"repo_id","total_commits","month"
"37405","236","2010-05-01 00:00:00"
"37405","8","2010-06-01 00:00:00"
"37405","129","2010-10-01 00:00:00"
"37405","11","2010-12-01 00:00:00"
"37405","1","2011-01-01 00:00:00"
"37405","23","2011-02-01 00:00:00"
"37405","72","2011-03-01 00:00:00"
"37405","28","2011-04-01 00:00:00"
"37405","92","2011-05-01 00:00:00"
"37405","74","2011-06-01 00:00:00"
"37405","52","2011-07-01 00:00:00"
"37405","23","2011-08-01 00:00:00"
"37405","285","2011-09-01 00:00:00"
"37405","256","2011-10-01 00:00:00"
"37405","125","2011-11-01 00:00:00"
"37405","384","2011-12-01 00:00:00"
"37405","41","2012-01-01 00:00:00"
"37405","998","2012-02-01 00:00:00"
"37405","63","2012-03-01 00:00:00"
"37405","450","2012-04-01 00:00:00"
"37405","56","2012-05-01 00:00:00"
"37405","218","2012-07-01 00:00:00"
"37405","127","2012-08-01 00:00:00"
"37405","348","2012-09-01 00:00:00"
"37405","601","2012-10-01 00:00:00"
"37405","631","2012-11-01 00:00:00"
"37405","577","2012-12-01 00:00:00"
"37405","651","2013-01-01 00:00:00"
"37405","86","2013-02-01 00:00:00"
"37405","102","2013-03-01 00:00:00"
"37405","735","2013-04-01 00:00:00"
"37405","1041","2013-05-01 00:00:00"
"37405","441","2013-06-01 00:00:00"
"37405","1046","2013-07-01 00:00:00"
"37405","1907","2013-08-01 00:00:00"
"37405","326","2013-09-01 00:00:00"
"37405","62","2013-10-01 00:00:00"
"37405","16","2013-11-01 00:00:00"
"37405","38","2013-12-01 00:00:00"
"37405","352","2014-01-01 00:00:00"
"37405","578","2014-02-01 00:00:00"
"37405","442","2014-03-01 00:00:00"
"37405","677","2014-04-01 00:00:00"
"37405","2071","2014-05-01 00:00:00"
"37405","675","2014-06-01 00:00:00"
"37405","376","2014-07-01 00:00:00"
"37405","531","2014-08-01 00:00:00"
"37405","1440","2014-09-01 00:00:00"
"37405","536","2014-10-01 00:00:00"
"37405","110","2014-11-01 00:00:00"
"37405","38","2014-12-01 00:00:00"
"37405","25","2015-01-01 00:00:00"
"37405","76","2015-02-01 00:00:00"
"37405","169","2015-03-01 00:00:00"
"37405","91","2015-04-01 00:00:00"
"37405","521","2015-05-01 00:00:00"
"37405","295","2015-06-01 00:00:00"
"37405","237","2015-07-01 00:00:00"
"37405","597","2015-08-01 00:00:00"
"37405","893","2015-09-01 00:00:00"
"37405","811","2015-10-01 00:00:00"
"37405","475","2015-11-01 00:00:00"
"37405","233","2015-12-01 00:00:00"
"37405","173","2016-01-01 00:00:00"
