"org_name","total_commits"
"php","1956119"
"openbsd","1768739"
"tc39","658533"
"systemd","216708"
"rubygems","84250"
"apache","77012"
"rustls","76089"
"openmathlib","66722"
"uutils","36484"
"gnome","34184"
"pypi","27855"
"pyca","27111"
"qos-ch","26560"
"hickory-dns","16311"
"openpgpjs","12644"
"openmls","9509"
"gstreamer","6905"
"fortran-lang","5570"
"nlnetlabs","4391"
"openjs-foundation","3217"
"prefix-dev","2402"
"sigstore","1251"
"alex","977"
"trailofbits","834"
"w3c","673"
"lullabot","629"
"sequoia-pgp","139"
