month,unique_contributors,org_name
2012-01,8,curl
2012-02,10,curl
2012-03,15,curl
2012-04,5,curl
2012-05,8,curl
2012-06,11,curl
2012-07,11,curl
2012-08,8,curl
2012-09,4,curl
2012-10,12,curl
2012-11,8,curl
2012-12,7,curl
2013-01,6,curl
2013-02,10,curl
2013-03,10,curl
2013-04,7,curl
2013-05,10,curl
2013-06,5,curl
2013-07,7,curl
2013-08,9,curl
2013-09,5,curl
2013-10,8,curl
2013-11,7,curl
2013-12,7,curl
2014-01,7,curl
2014-02,4,curl
2014-03,7,curl
2014-04,6,curl
2014-05,3,curl
2014-06,7,curl
2014-07,7,curl
2014-08,7,curl
2014-09,5,curl
2014-10,1,curl
2014-11,2,curl
2014-12,2,curl
2015-01,6,curl
2015-02,8,curl
2015-03,4,curl
2015-04,5,curl
2015-05,4,curl
2015-06,4,curl
2015-07,2,curl
2015-09,3,curl
2015-10,4,curl
2015-11,2,curl
2015-12,4,curl
2016-01,5,curl
2016-02,1,curl
2016-03,4,curl
2016-04,3,curl
2016-05,2,curl
2016-06,3,curl
2016-07,6,curl
2016-09,2,curl
2016-10,1,curl
2016-11,1,curl
2017-01,5,curl
2017-02,5,curl
2017-03,2,curl
2017-04,4,curl
2017-05,3,curl
2017-06,1,curl
2017-07,3,curl
2017-08,3,curl
2017-10,4,curl
2017-12,4,curl
2018-01,5,curl
2018-03,2,curl
2018-04,3,curl
2018-05,2,curl
2018-06,3,curl
2018-07,2,curl
2018-08,1,curl
2018-09,2,curl
2018-10,2,curl
2018-11,1,curl
2018-12,1,curl
2019-05,2,curl
2019-06,2,curl
2019-09,3,curl
2019-11,3,curl
2019-12,1,curl
2020-01,3,curl
2020-02,3,curl
2020-03,1,curl
2020-04,1,curl
2020-06,2,curl
2020-09,1,curl
2020-11,1,curl
2020-12,1,curl
2021-01,2,curl
2021-05,3,curl
2021-06,1,curl
2021-07,1,curl
2021-08,2,curl
2021-09,2,curl
2021-11,1,curl
2022-04,1,curl
2022-05,1,curl
2022-07,1,curl
2022-08,1,curl
2022-09,1,curl
2022-10,1,curl
2022-12,1,curl
2023-01,3,curl
2023-02,2,curl
2023-03,3,curl
2023-04,1,curl
2023-06,1,curl
2024-03,2,curl
2024-04,1,curl
2012-01,1,fortran-lang
2012-03,1,fortran-lang
2012-04,2,fortran-lang
2012-05,2,fortran-lang
2012-06,2,fortran-lang
2012-07,2,fortran-lang
2012-11,1,fortran-lang
2012-12,1,fortran-lang
2013-01,1,fortran-lang
2013-03,2,fortran-lang
2013-04,1,fortran-lang
2013-05,1,fortran-lang
2013-06,1,fortran-lang
2013-07,1,fortran-lang
2013-08,2,fortran-lang
2013-09,2,fortran-lang
2013-10,4,fortran-lang
2013-12,2,fortran-lang
2014-02,3,fortran-lang
2014-03,1,fortran-lang
2014-04,2,fortran-lang
2014-05,3,fortran-lang
2014-06,3,fortran-lang
2014-07,1,fortran-lang
2014-08,2,fortran-lang
2014-10,1,fortran-lang
2014-12,3,fortran-lang
2015-01,1,fortran-lang
2015-02,5,fortran-lang
2015-03,3,fortran-lang
2015-05,1,fortran-lang
2015-06,1,fortran-lang
2015-07,1,fortran-lang
2015-09,3,fortran-lang
2015-10,1,fortran-lang
2015-11,2,fortran-lang
2016-01,1,fortran-lang
2016-02,1,fortran-lang
2016-03,2,fortran-lang
2016-05,1,fortran-lang
2016-06,1,fortran-lang
2017-02,3,fortran-lang
2017-03,1,fortran-lang
2017-04,1,fortran-lang
2017-05,2,fortran-lang
2017-07,2,fortran-lang
2017-08,1,fortran-lang
2017-10,1,fortran-lang
2017-11,2,fortran-lang
2017-12,3,fortran-lang
2018-03,1,fortran-lang
2018-05,1,fortran-lang
2018-06,3,fortran-lang
2018-07,2,fortran-lang
2018-08,1,fortran-lang
2018-09,1,fortran-lang
2018-12,1,fortran-lang
2019-07,2,fortran-lang
2019-09,1,fortran-lang
2019-11,1,fortran-lang
2019-12,1,fortran-lang
2020-01,1,fortran-lang
2020-03,2,fortran-lang
2020-04,1,fortran-lang
2020-05,2,fortran-lang
2020-10,1,fortran-lang
2021-01,1,fortran-lang
2021-03,2,fortran-lang
2021-08,1,fortran-lang
2021-09,1,fortran-lang
2021-11,1,fortran-lang
2022-01,1,fortran-lang
2023-03,1,fortran-lang
2023-09,1,fortran-lang
2012-02,1,openmls
2012-06,1,openmls
2012-10,1,openmls
2012-11,1,openmls
2013-01,1,openmls
2013-03,1,openmls
2013-04,1,openmls
2013-07,1,openmls
2013-08,1,openmls
2013-12,2,openmls
2014-01,2,openmls
2014-04,1,openmls
2014-06,2,openmls
2014-09,1,openmls
2014-10,1,openmls
2014-11,1,openmls
2015-05,1,openmls
2015-06,1,openmls
2015-07,2,openmls
2015-12,1,openmls
2016-03,1,openmls
2016-09,1,openmls
2016-10,1,openmls
2018-10,1,openmls
2019-11,2,openmls
2020-04,1,openmls
2021-05,1,openmls
2012-01,4,openpgpjs
2012-02,9,openpgpjs
2012-03,6,openpgpjs
2012-04,3,openpgpjs
2012-05,5,openpgpjs
2012-06,5,openpgpjs
2012-07,7,openpgpjs
2012-08,6,openpgpjs
2012-09,3,openpgpjs
2012-10,5,openpgpjs
2012-11,5,openpgpjs
2012-12,3,openpgpjs
2013-01,10,openpgpjs
2013-02,9,openpgpjs
2013-03,4,openpgpjs
2013-04,3,openpgpjs
2013-05,6,openpgpjs
2013-06,5,openpgpjs
2013-07,2,openpgpjs
2013-08,2,openpgpjs
2013-09,7,openpgpjs
2013-10,2,openpgpjs
2013-11,5,openpgpjs
2013-12,6,openpgpjs
2014-01,4,openpgpjs
2014-02,2,openpgpjs
2014-03,4,openpgpjs
2014-04,4,openpgpjs
2014-05,2,openpgpjs
2014-06,4,openpgpjs
2014-07,4,openpgpjs
2014-08,3,openpgpjs
2014-09,4,openpgpjs
2014-10,6,openpgpjs
2014-11,2,openpgpjs
2014-12,5,openpgpjs
2015-01,5,openpgpjs
2015-02,2,openpgpjs
2015-03,2,openpgpjs
2015-04,4,openpgpjs
2015-06,2,openpgpjs
2015-07,3,openpgpjs
2015-08,6,openpgpjs
2015-09,3,openpgpjs
2015-10,10,openpgpjs
